tweet,cluster_number
"lack of exercise is child neglect
",2.0
"teenage birth rate falls in england
",2.0
"bedblocking concerns being raised
",2.0
"audio ancestral fear causes brain changes
",2.0
"why are we more scared of raw egg than reheated rice
",2.0
"morningafter drinkdrivers rise
",2.0
"the financial cost of cancer
",2.0
"grants help sa girls avoid hiv
",2.0
"call for underage drinking crackdown
",2.0
"video staffing levels behind misdiagnosis
",2.0
"can robots care for the elderly
",2.0
"medics may face jail for neglect
",2.0
"designer vagina ops not nhs role
",2.0
"health challenge faces philippines
",2.0
"depression speeds ageing process
",2.0
"hidden workforce crisis in nursing
",2.0
"cameron takes centre stage on nhs
",2.0
"audio should workers face drinking test
",2.0
"leaders clash over nhs crisis
",2.0
"doctor jailed for killing patient
",2.0
"all the right letters
",2.0
"doctors sign patient death warrant
",2.0
"ni health board chief set to retire
",2.0
"the ivf gamble readers stories
",2.0
"vegetative patient paid attention
",2.0
"doctors right to stop patient care
",2.0
"slowdown in resistant gonorrhoea
",2.0
"video keeping the nhs on the road
",2.0
"can singing ease a childs pain
",2.0
"gardening linked to longer lives
",2.0
"video dad didnt have any food or drink
",2.0
"is tax good for our health
",2.0
"fat pledge a drop in the ocean
",2.0
"waiting for the world to end
",2.0
"video nhs can save â£500m on foreign care
",2.0
"video parents not eating to feed children
",2.0
"elderly care all sorted think again
",2.0
"ops postponed over staff shortages
",2.0
"ministers target nhs weekend care
",2.0
"cancer carers need more training
",2.0
"video disabled children cant afford basics
",2.0
"video tougher eu rules for cigarette sales
",2.0
"kissing the key to finding mr darcy
",2.0
"scientists halt brain cell death
",2.0
"whats behind the idea of banning 10packs of cigarettes
",2.0
"infection risk at piercing clinic
",2.0
"genderabortion decision right
",2.0
"lifestyle changes affecting nhs
",2.0
"eating disorder patients stranded
",2.0
"face blindness seeing but not seeing
",2.0
"call for early bone cancer diagnosis
",2.0
"changes to help nhs balance books
",2.0
"is it safe to drink cocktails with raw egg
",2.0
"new patient targets pledge for nhs
",2.0
"new approach against hiv promising
",3.0
"review of case against nhs manager
",3.0
"have gp services got worse
",3.0
"aampe waiting hits new worst level
",3.0
"parties row over gp opening hours
",3.0
"personal cancer vaccines exciting
",3.0
"the bolivian women who knit parts for hearts
",3.0
"video sitting down poses health risk
",3.0
"first europe nonbeating heart swap
",3.0
"three ivf cycles a nobrainer
",3.0
"preventive surgery for cancer genes
",3.0
"video toxic smog prompts health warning
",3.0
"video mother warns over meningitis w
",3.0
"scarlet fever cases reach new high
",3.0
"vaccine plan for meningitis rise
",3.0
"video new mental health rights proposed
",3.0
"video the man who changed parenting
",3.0
"hospital investigation cost â£195m
",3.0
"concern over online gonorrhoea care
",3.0
"who calls for action over mers virus
",3.0
"video how do dementia friends work
",3.0
"video painful wait for a childs diagnosis
",3.0
"state of the nhs wales v england
",3.0
"fewer aampe patients waiting longer
",3.0
"video walking again with help of oxygen
",3.0
"synthetic vaccine sought for polio
",3.0
"aampe waits improve across england
",3.0
"hrt increases ovarian cancer risk
",3.0
"row over sugarmoney influence
",3.0
"food fight row over fat advice
",3.0
"one in five care homes fail key test
",3.0
"video full investigation when care fails
",3.0
"video how a needs assessment works
",3.0
"how is the nhs coping this winter
",3.0
"new advice for flying when pregnant
",3.0
"viewpoint talking about mental health is just the first step
",3.0
"video half of people will get cancer
",3.0
"half of uk people will get cancer
",3.0
"what is driving a rise in death rate
",3.0
"video warnings over skinny selfies craze
",3.0
"more scots waiting longer in aampe
",3.0
"video is a richer world a healthier one
",3.0
"video stroke awareness campaign hailed
",3.0
"liberias ebola vaccine trial begins
",3.0
"video veteran news anchor reveals he has als
",3.0
"video warning over asthma diagnosis
",3.0
"who vows reform after ebola shocks
",3.0
"video doctors in drive to attract new gps
",3.0
"video how winter wards help hospitals
",3.0
"aampe waiting times in england improve
",3.0
"newer heart attack test for women
",3.0
"rocketing vaccine cost warning
",3.0
"video health fears over train toilet waste
",3.0
"a testing week for the nhs
",3.0
"video worst aampe waiting times in a decade
",3.0
"mixed views on aampe waiting times
",3.0
"unique life of having two penises
",3.0
"ebola new vaccine trial begins
",3.0
"video extra screening tests for newborns
",3.0
"video 2014s medical milestone as man walks again
",3.0
"frontline nhs staff given honours
",3.0
"video how trials helped patients in 2014
",3.0
"whooping cough virus evolving fast
",3.0
"first uk reservists join ebola fight
",3.0
"nhs staff to strike in new year
",3.0
"rare disease service overwhelmed
",3.0
"uk reservists to join ebola fight
",3.0
"sugar worse than salt row erupts
",3.0
"what happens when nhs patients are referred to private hospitals
",3.0
"long wait for abuse counselling
",3.0
"video swan children given new hope
",3.0
"video we werent told of kidney risks
",3.0
"video a week in the life of a care worker
",3.0
"home care services close to crisis
",3.0
"extra â£65m for welsh health services
",3.0
"ni has largest hiv rise since 2000
",3.0
"us footballers show brain changes
",3.0
"video where did aids come from
",3.0
"lowest ever winter deaths recorded
",3.0
"video too few toddlers having flu vaccine
",3.0
"too few toddlers having flu vaccine
",3.0
"how much will the chancellor give the nhs
",3.0
"guidelines favour weight loss ops
",3.0
"vitamin d warning from nice
",3.0
"the problem with freezing stem cells
",3.0
"video bid to remove worst bits of health act
",3.0
"concern over rising heart infection
",3.0
"poor have fewer teeth than rich
",3.0
"video poor people will have fewer teeth
",3.0
"call for ecigarette safety warnings
",3.0
"why the nhs is facing a tricky winter
",3.0
"malaria warning for pregnant women
",3.0
"video serwotkas lifesaving device
",3.0
"care plan savings overoptimistic
",3.0
"why scratching intensifies itching
",3.0
"video how to spot the signs of a stroke
",3.0
"video women not aware of stroke risk
",3.0
"sunshine can slow weight gain
",3.0
"video wilko johnson says he is cancer free
",3.0
"nine million have tb who report
",3.0
"video clashes on english and welsh nhs
",3.0
"scans reveal cause of winter blues
",3.0
"man walks again after transplant
",3.0
"living with smoker risks highlighted
",3.0
"concern over new mums mental health
",3.0
"all nations have a stake in ebola
",3.0
"ebola vaccine will come too late
",3.0
"awareness signs in vegetative patients
",3.0
"hospital apology over cancer care
",3.0
"video london set for smoking crackdown
",3.0
"video i was screened for ebola at heathrow
",3.0
"ebola screening begins at heathrow
",3.0
"ebola treatments how far off
",3.0
"heathrow to start screening for ebola
",3.0
"nhs strikes what next
",3.0
"students advised of organ donor law
",3.0
"liberia strike threat over ebola
",3.0
"new ebola checks for nhs 111 calls
",3.0
"new yorks jfk to start ebola checks
",3.0
"ebola screening will it work
",3.0
"clegg sets mental health wait limits
",3.0
"can pregnant women ever drink
",3.0
"how not to catch ebola
",3.0
"no ebola screening for uk arrivals
",3.0
"nobel winner warns over immigration
",3.0
"video intern invents smart wheelchair
",3.0
"ebola nurse tells of virus horror
",3.0
"video warning over alcohol preloading
",3.0
"over 500 gp practices risk closure
",3.0
"cameron vow to protect nhs spending
",3.0
"midwives vote for strike action
",3.0
"video france launches crackdown on smoking
",3.0
"nhs staff volunteer for ebola effort
",3.0
"go tvfree to fight fat says nice
",3.0
"health services finances worsening
",3.0
"nhs staff vote for strike action
",3.0
"ebola the hunt for a vaccine
",3.0
"ebola vaccine trial begins
",3.0
"nhs cancer services struggling
",3.0
"ashya king to leave hospital
",3.0
"video march for nhs heads to westminster
",3.0
"video inside hospital welcoming maggots
",3.0
"ebola threatens w africa harvests
",3.0
"the girl with three biological parents
",3.0
"no apology over ashya response
",3.0
"nigeria closes schools over ebola
",3.0
"overseas nurses face shorter tests
",3.0
"video what goes into a fake cigarette
",3.0
"ebola heavy toll on health staff
",3.0
"health experts food poverty warning
",3.0
"how safe is eating meat
",3.0
"health warning on laughing gas use
",3.0
"video how sweden cares for its elderly
",3.0
"nhs to target long waits for ops
",3.0
"living in the shadow of ebola
",3.0
"victim of fatshaming loses 25 stone
",3.0
"school infants obese warnings
",3.0
"saving lives on the ebola front line
",3.0
"chicken factories given allclear
",3.0
"government loses â£700m nhs it case
",3.0
"contraceptive pill safe for all women
",3.0
"warning over nhs trust finances
",3.0
"three person ivf plans progress
",3.0
"video clegg vows action to stop fgm
",3.0
"video new measures to tackle fgm
",3.0
"painpatch warning to patients
",3.0
"caring for kenyas hiv orphans
",3.0
"safer kisspeptin ivf shows promise
",3.0
"aspergers novel wins crime award
",3.0
"ons mothers average age hits 30
",3.0
"video warning over child dental health
",3.0
"health warning over ramadan fasting
",3.0
"video how organ transplant changed my life
",3.0
"video leaders clash on nhs waiting times
",3.0
"frozen testicle live birth first
",3.0
"the man who discovered hay fever
",3.0
"living a life in fear of laughter
",3.0
"patients facing longer gp waits
",3.0
"mental health services a car crash
",3.0
"parties using nhs to win votes
",3.0
"birthing pool infection risk warning
",3.0
"microwave helmet can spot a stroke
",3.0
"smart glasses for failing vision
",3.0
"video living with hiv when over 50
",3.0
"review into harrowing care scandal
",3.0
"fewer than half know who runs nhs
",3.0
"video the man who coined shell shock
",3.0
"babies can learn to love vegetables
",3.0
"cancer waiting time targets slip
",3.0
"video call to allow use of ecigarettes
",3.0
"what is an obesogenic environment
",3.0
"patients miss waiting time target
",3.0
"police investigate patient restraint
",3.0
"tesco to remove sweets from checkouts
",3.0
"doctors powerless over legal highs
",3.0
"panel to investigate statin articles
",3.0
"hospital staff test negative for mers
",3.0
"the third way life in a retirement village
",3.0
"few will hit social care cost cap
",3.0
"uk mental health cost of afghan war
",3.0
"aampe waiting time targets improve
",3.0
"womens heart health fitness warning
",3.0
"video what can a 200 smart vest do
",3.0
"which football fans will live longest
",3.0
"ni women no free english abortions
",3.0
"video i wish doctors had listened to me
",3.0
"video reducing sugar for a week
",3.0
"new care workers to earn certificate
",3.0
"heathrow flight mers virus warning
",3.0
"whooping cough cases fall warning
",3.0
"video half with cancer live a decade
",3.0
"half with cancer live a decade
",3.0
"strike threat over health salaries
",3.0
"long wait for chronic pain sufferers
",3.0
"video cancer fundraiser suttons new video
",3.0
"video warning over foreign doctor training
",3.0
"warning over bowel cancer screening
",3.0
"jones attacks cameron over welsh nhs
",3.0
"living organ regeneration first
",3.0
"living with the opposite of autism
",3.0
"lung cancer survival rates poor
",3.0
"running preserves thinking skills
",3.0
"air pollution reaches high levels
",3.0
"nhs facing biggest ever challenge
",3.0
"video deaf woman hears for first time
",3.0
"video new clinic to target rare cancer
",3.0
"video two infected with tb from cats
",3.0
"video moment deaf woman hears for first time
",3.0
"video overweight now seen as normal
",3.0
"video two thirds of adults overweight
",3.0
"action need over weekend doctors
",3.0
"overweight being seen as the norm
",3.0
"new insight into learning maths
",3.0
"patients waiting 29 hours in rvh
",3.0
"know your true heart age for risk
",3.0
"video west africa on ebola high alert
",3.0
"video prosthesis advance offers new hope
",3.0
"threat of extinction to gp service
",3.0
"video woman sees again after pioneering op
",3.0
"two face genital mutilation charges
",3.0
"miscarriage link to low ivf success
",3.0
"st johns wort blights contraceptive
",3.0
"watchdog needs fundamental review
",3.0
"charity call for patient care review
",3.0
"vigorous exercise cuts flu risk
",3.0
"hiv protection gel a step closer
",3.0
"exercise advised for cancer swelling
",3.0
"sniffing out cancer with electronic noses
",3.0
"video widow wins fight to keep sperm
",3.0
"privatisation hurting health care
",3.0
"mans leg kept alive on his arm
",3.0
"private heart ops for nhs patients
",3.0
"teen pregnancy rate lower still
",3.0
"gps complacent over hiv risk
",3.0
"more healing sleep for newborns
",3.0
"video social work training reforms urged
",3.0
"lack of clarity over nhs savings
",3.0
"aampe review finds doctor shortage
",3.0
"women fare worse after strokes
",3.0
"video smoking in cars what are the risks
",3.0
"hospitals to log victims of fgm
",3.0
"video cancer cases to soar warns who
",3.0
"world facing cancer tidal wave
",3.0
"vitamin pills lower exercise gains
",3.0
"call for safe staff levels across nhs
",3.0
"health service to receive extra â£30m
",3.0
"ccgs saving lives or forcing cuts
",3.0
"too hot for tennis how heat affects players
",3.0
"brain blow leaves lifelong dangers
",3.0
"green spaces improve mental health
",3.0
"heart attack leaves cellular trace
",3.0
"nhs groups look to new start in 2014
",3.0
"new genetic clues for arthritis
",3.0
"video millions wait a week to see a gp
",3.0
"millions wait a week to see a gp
",3.0
"mental health ward is investigated
",3.0
"brain cancer vaccine trial begins
",3.0
"heston gives taste to hospital meals
",3.0
"christmas warning over fake alcohol
",3.0
"video sevenday week for top nhs doctors
",3.0
"sevenday week for senior doctors
",3.0
"are we being fair to the nhs
",3.0
"patients call liver op helpline
",3.0
"review of legal highs launched
",3.0
"artificial sweetener is safe
",3.0
"mental health service crisis row
",3.0
"hospital lost chances to save girl
",3.0
"lessons to learn over nhs failings
",3.0
"10stone girl five taken into care
",3.0
"video hes not going to know who i am
",3.0
"many gp cancer referrals too slow
",3.0
"ivf success downhill from age 37
",3.0
"hiv care at risk from nhs changes
",3.0
"the girl whose skin never heals
",3.0
"more hospitals facing savile checks
",3.0
"hiv response at turning point
",3.0
"dengue fever risk to world cup fans
",3.0
"patients wait too long for therapy
",3.0
"cigarette packaging review planned
",3.0
"video prosthetic limbs give new lease of life
",3.0
"review of cancer hospital revealed
",3.0
"video heathrow creates ecigarette zone
",3.0
"how can an athlete enhance performance legally
",3.0
"video hospitals prepare for a winter crisis
",3.0
"putting off hiv checks never works
",3.0
"video the man who fixed his own heart
",3.0
"gp service facing crisis warning
",3.0
"hospitals to publish staffing levels
",3.0
"video how does the nhs plan for winter
",3.0
"video pm will not lower age of consent
",3.0
"pm will not lower age of consent
",3.0
"face ache the woman who lost teeth for nothing
",3.0
"irrelevant paperwork waste of time
",3.0
"video nhs wales waiting times increase
",3.0
"flu watch coming to uk schools
",3.0
"audio midwife reveals fear of litigation
",3.0
"video winners and losers in health spending
",3.0
"face get back to work
",3.0
"video man who answered first samaritans call
",3.0
"fewer minority girls have hpv jab
",3.0
"rabies kitten prompts french warning
",3.0
"surgeon wins award for 95p invention
",3.0
"new york to raise cigarette sale age
",3.0
"bat virus clues to origins of sars
",3.0
"nhs complaints review set to report
",3.0
"call for clarity on ivf heartbreak
",3.0
"women stigmatised over infertility
",3.0
"mental health veterans therapy worry
",3.0
"nhs can save â£500m on foreign care
",3.0
"housework not strenuous enough
",3.0
"cognitive therapy can ease anxiety
",3.0
"mexico man with aspergers wins case
",3.0
"video vaccine gap for worlds children
",3.0
"mental health services in crisis
",3.0
"anticancer vaccine for laos
",3.0
"get flu vaccine this winter plea
",3.0
"warning to measles school parents
",3.0
"video maisie two goes home for first time
",3.0
"gp services face cuts catastrophe
",3.0
"breast cancer research gap warning
",3.0
"coalition undermined nhs doctors
",1.0
"video overhaul needed for endoflife care
",1.0
"video health surcharge for noneu patients
",1.0
"video skin cancer spike from 60s holidays
",1.0
"public back tax rises to fund nhs
",1.0
"five ideas to transform the nhs
",1.0
"video miliband cameron failed the nhs
",1.0
"ambulance progress not fast enough
",1.0
"childrenâs hospital builds sleep app
",1.0
"video we must plan for future of nhs
",1.0
"video could existing drugs offer ms hope
",1.0
"uganda circumcision truck fights hiv
",1.0
"rise in child mental health issues
",1.0
"nhs labours private profits cap
",1.0
"british medic declared free of ebola
",1.0
"labour to cap private profits in nhs
",1.0
"nhs medical accidents unit needed
",1.0
"indiana emergency for hiv epidemic
",1.0
"video sport must act on mental health
",1.0
"nhs problems worst since 1990s
",1.0
"contaminated blood probe report due
",1.0
"air pollution link to stroke risk
",1.0
"hospital mental health absences rise
",1.0
"video hunt hopeful of men b jab deal
",1.0
"selfie danger during solar eclipse
",1.0
"video why did my partner take his own life
",1.0
"nhs trust put into special measures
",1.0
"video pharmacists should support gps
",1.0
"army of pharmacists to help gps
",1.0
"child mental health faces overhaul
",1.0
"improve endoflife care for all
",1.0
"video the art of microbes
",1.0
"first successful penis transplant
",1.0
"aampe target missed whole of winter
",1.0
"measles fear for ebolahit countries
",1.0
"raf flight to help uk ebola patient
",1.0
"the nhs a powerhouse for new medicines
",1.0
"lowfat diet burns more fat
",1.0
"new mental health rights proposed
",1.0
"end fixation with aampe wait target
",1.0
"prisons face smoking ban prosecution
",1.0
"video meningitis no one should go through this pain
",1.0
"hospital crisis hit 900 operations
",1.0
"plumbers should report cold homes
",1.0
"video cancer target missed for 20000 people
",1.0
"aampe waiting time targets missed
",1.0
"video hidden victims of the ebola crisis
",1.0
"gp shortages put pressure on doctors
",1.0
"new gp deal allows more caring time
",1.0
"child health an election issue
",1.0
"start date for devo manc nhs plan
",1.0
"hospital staff told of savile abuse
",1.0
"dont cut other areas to fund nhs
",1.0
"video flu scientists defend vaccine choice
",1.0
"video health devolution for greater manchester
",1.0
"skin test spots alzheimers disease
",1.0
"patient waiting time targets missed
",1.0
"nhs must step in over avastin row
",1.0
"rise in aampe wait times for patients
",1.0
"care inspections not fit for purpose
",1.0
"support fears delay nhs discharges
",1.0
"dementia research matchmaker scheme
",1.0
"fertility clinic at hospital reopens
",1.0
"video tackling fgms poor prosecution rate
",1.0
"healthy dose of hope for oneuse syringes
",1.0
"video expilot warns over toxic plane fumes
",1.0
"dementia friends reach one million
",1.0
"nhs foundation trusts deficit rises
",1.0
"fifteenminute ebola test approved
",1.0
"aampe waits worsen across england
",1.0
"priority call on child mental health
",1.0
"sunlight harms skin for hours later
",1.0
"resistantmalaria enormous threat
",1.0
"unsafe trust in special measures
",1.0
"nhs child mental health care pledge
",1.0
"australia hep a outbreak spreads
",1.0
"nhs paying too much for medicines
",1.0
"video how art can help mental health
",1.0
"video â£30m boost for alzheimers research
",1.0
"unlabelled nuts in food prompts probe
",1.0
"hospitals aampe consultants all quit
",1.0
"are we now on half measures
",1.0
"hospitals develop aampe solutions
",1.0
"could smart phones help provide mental health care
",1.0
"law to make fgm reporting mandatory
",1.0
"google introduces illness tips
",1.0
"opposition claims of aampe in crisis
",1.0
"nhs staff afraid to speak out
",1.0
"video pioneering drug treatment for cancer
",1.0
"hospital maternity care concerns
",1.0
"putting fitness trackers to the test
",1.0
"smart insulin hope for diabetes
",1.0
"focus on fitness not fatness
",1.0
"care staff miss out on minimum pay
",1.0
"uk pledges millions to new ebola fund
",1.0
"nhs complaints process inadequate
",1.0
"mental health detentions a scandal
",1.0
"making the sums add up
",1.0
"children familiar with beer brands
",1.0
"doctor not guilty of performing fgm
",1.0
"care cap for young adults proposed
",1.0
"mother of six can be sterilised
",1.0
"government failing on care pledge
",1.0
"nhs 111 increasing pressure on nhs
",1.0
"screen time harms teenagers sleep
",1.0
"video mps to vote on threeperson babies
",1.0
"chris christie wades into measles row
",1.0
"handroid helps injured marine
",1.0
"doctors urged to tell patients names
",1.0
"uk health worker monitored for ebola
",1.0
"video patients at risk if training cut
",1.0
"churches oppose threeperson babies
",1.0
"cold plasma kills off norovirus
",1.0
"training cuts could harm patients
",1.0
"students use porn for sex education
",1.0
"hospitals reject nhs funding cut
",1.0
"thousands need threeperson babies
",1.0
"fgm jurors told to look past horror
",1.0
"care spend cut by fifth in decade
",1.0
"video cash incentives stop pregnant smokers
",1.0
"coupons help pregnant smokers quit
",1.0
"how much does nhs wales spend
",1.0
"postebola marshall plan needed
",1.0
"cosmetic surgery popularity falls
",1.0
"the problem of medical drug prices
",1.0
"the man trapped in constant deja vu
",1.0
"posttraumatic stress in 1300bc
",1.0
"gp practices in special measures
",1.0
"death certificate overhaul deferred
",1.0
"partners can make pain worse
",1.0
"treat nhs whistleblowers better mps
",1.0
"trust drops daily meals on wheels
",1.0
"video could volunteers help aampe crisis
",1.0
"health trust ordered to improve
",1.0
"first transplant from uk newborn
",1.0
"chinese mans rare stem cell match
",1.0
"doctor performed fgm on new mother
",1.0
"higher dementia rates found in north
",1.0
"give flu jab to popular med students
",1.0
"food tax would fund public health
",1.0
"most pupils never shower after pe
",1.0
"wales and ni aampe waits worsen
",1.0
"stress stops empathy for strangers
",1.0
"aampes given safe nurse staffing rules
",1.0
"nhs chief more cancer cuts likely
",1.0
"audio three days in a hospital stock room
",1.0
"suspected ebola case at uk hospital
",1.0
"video more than 400000 extra aampe visits
",1.0
"video pm quizzed on ambulance death claims
",1.0
"exercise helps with me study says
",1.0
"more than 400000 extra aampe visits
",1.0
"aampe stress worse than iraq war
",1.0
"msps consider assisted suicide laws
",1.0
"computers good judge of character
",1.0
"video can sugar cure painful leg ulcers
",1.0
"plasters for the mind the rise in mental health first aid
",1.0
"higher premature death rate targeted
",1.0
"in search of a personalised diet
",1.0
"blood test to help smokers quit
",1.0
"video we must plan ahead on cancer
",1.0
"video sussex gp weekend appointments offered
",1.0
"the golden rule of nhs politics
",1.0
"aampe waits in england getting worse
",1.0
"private firm pulls out of hospital
",1.0
"ebola nurse critical for some time
",1.0
"mp pregnant women should not drink
",1.0
"private medical school â£36000 fees
",1.0
"patients getting stuck in hospital
",1.0
"video what is the best support for autism
",1.0
"labour seeks summit to find aampe fix
",1.0
"video hunt responds to patients aampe woes
",1.0
"major incidents at six hospitals
",1.0
"video autism for me is a painful gift
",1.0
"video lib dems nhs funding gap pledge
",1.0
"video aampe performance target figures due
",1.0
"common cold prefers cold noses
",1.0
"aampe performance to hit new low
",1.0
"hospitals declare major incidents
",1.0
"aldi chocolate in salmonella scare
",1.0
"cut childrens sugar parents told
",1.0
"hospitals declare major incident
",1.0
"video families should be involved in care
",1.0
"proper checks in place for ebola pm
",1.0
"video cameron nhs is not unaffordable
",1.0
"uk ebola nurse critical hospital
",1.0
"ebola flights uk passengers traced
",1.0
"experimental drug for uk ebola nurse
",1.0
"plasma treatment for uk ebola patient
",1.0
"prescription fraud plan criticised
",1.0
"smoking rot highlighted in campaign
",1.0
"ebola how does it compare
",1.0
"video gp christmas closure patient advice
",1.0
"us childhood safer than in 1970s
",1.0
"christmas closures plan ahead
",1.0
"scientists attack student exit plan
",1.0
"tackle loneliness to shield aampe
",1.0
"ereaders damage sleep and health
",1.0
"nhs to start era of dnamedicine
",1.0
"asthma inhalers not used properly
",1.0
"nhs to start era of dnamedicine
",1.0
"eu approves first stem cell therapy
",1.0
"aampe has worst week in england
",1.0
"painkillers cut skin cancer risk
",1.0
"brains internal compass found
",1.0
"autism link to air pollution raised
",1.0
"drug allergy culprit protein found
",1.0
"video smoking in cars harmful for children
",1.0
"rules for babies from three people
",1.0
"s leone houses searched for ebola
",1.0
"auditors question public health spend
",1.0
"mental health support for mothers
",1.0
"ecigarettes can help smokers quit
",1.0
"aampe units creaking under pressure
",1.0
"ambulance service asks for help
",1.0
"yoga may protect heart study finds
",1.0
"me my friend pru and our memories
",1.0
"aampe waiting time target questioned
",1.0
"cardiff surgeons musical medicine
",1.0
"hospitals âface mounting pressuresâ
",1.0
"new camera checks broadmoor patients
",1.0
"scientists make feel full chemical
",1.0
"firms awarded third of nhs contracts
",1.0
"hospital deaths inquiry launched
",1.0
"call to redefine physical activity
",1.0
"video schools at risk from deadly pollution
",1.0
"alcohol price law could save â£900m
",1.0
"air pollution public health crisis
",1.0
"text reminders stop medicine waste
",1.0
"disabled man put up for auction
",1.0
"video do pe classes affect adult exercise
",1.0
"cancer patients often unaccompanied
",1.0
"no criticism over transplant deaths
",1.0
"court rejects foetal alcohol damages
",1.0
"drug repairs spinal cord injuries
",1.0
"video home birth could be best option
",1.0
"patient care faces serious impact
",1.0
"child abuse hospital faces claims
",1.0
"health boards spend â£82m on locums
",1.0
"funding pledge on eating disorders
",1.0
"scientists make enzymes from scratch
",1.0
"paedophile doctor jailed for 22 years
",1.0
"c diff rates rise at two hospitals
",1.0
"assisted suicide the shipman effect
",1.0
"dementia patients lack proper care
",1.0
"protein key to heart muscle defect
",1.0
"huddles help childrens hospital care
",1.0
"food bug affects 70 of shop chickens
",1.0
"audio schizophrenia assumptions challenged
",1.0
"fifth of millennium babies obese
",1.0
"video movember moustache praise from pm
",1.0
"aampe care still unsafe at hospital
",1.0
"msps tears over c diff deaths
",1.0
"audio alzheimers and schizophrenia linked
",1.0
"girl died after stem cell transplant
",1.0
"many lonely elderly call helpline
",1.0
"brains dementia weak spot found
",1.0
"video my daughter felt trapped in hospital
",1.0
"video nhs pay staff morale is dreadful
",1.0
"transplant fears over kidneys deaths
",1.0
"ebola trials best chance for cure
",1.0
"suicide risk falls after talk therapy
",1.0
"video labour calls for nhs investment
",1.0
"video aampes miss fourhour wait standard
",1.0
"aampes miss fourhour wait standard
",1.0
"mps to debate nhs privatisation
",1.0
"no fertility help for cancer young
",1.0
"pork gelatine flu spray concerns
",1.0
"audio early years of sex research on display
",1.0
"surgeon convicted of patient attacks
",1.0
"hospital slip death inquiry planned
",1.0
"tenth of british men pay for sex
",1.0
"video i stayed for the love of my people
",1.0
"better hospital food may become law
",1.0
"major incident hospital cancels ops
",1.0
"uk doctor on the ebola front line
",1.0
"bird flu what threat to humans
",1.0
"video call to help elderly after hospital
",1.0
"video epidemic of hunger in the uk
",1.0
"video colchester hospital major incident
",1.0
"exotic pets and the risks to health
",1.0
"hospital declares major incident
",1.0
"cancer rate to push nhs to limit
",1.0
"deep concern at cancer drug cuts
",1.0
"audio mcdonalds transformed our palates
",1.0
"nhs plans kitemark for health apps
",1.0
"christmas plea for blood donation
",1.0
"ebola outbreak deaths pass 5000
",1.0
"third ebola death confirmed in mali
",1.0
"midwife abortion objection case due
",1.0
"care home quality of life concerns
",1.0
"amputation pain still a challenge
",1.0
"anxious teens need tailored therapy
",1.0
"testes most distinct human tissue
",1.0
"step to parkinsons stem cell therapy
",1.0
"happiness dips in midlife for rich
",1.0
"drug users unaware of hepatitis c
",1.0
"child mental health services unfit
",1.0
"language checks for nurses proposed
",1.0
"appeal over foetal alcohol syndrome
",1.0
"uks ebola appeal reaches â£10m mark
",1.0
"hike in checks for most vulnerable
",1.0
"video stafford health trust services end
",1.0
"video was there a coverup over primodos
",1.0
"some ethnic groups less cancer aware
",1.0
"video the makeshift protection for ebola
",1.0
"joinedup care the elephant in the room
",1.0
"audio we want sperm donors to be proud
",1.0
"video care plan to ease hospital pressure
",1.0
"uk national sperm bank starts work
",1.0
"care plan to ease hospital pressure
",1.0
"dementia tops female causes of death
",1.0
"k bladder uks secret ketamine epidemic
",1.0
"drugs fund papers over cracks
",1.0
"nhs screening advice must improve
",1.0
"video fears for scope care home residents
",1.0
"mental health spending too low
",1.0
"jones not afraid of nhs scrutiny
",1.0
"ashyas family unsafe for uk return
",1.0
"first transplant of dead heart
",1.0
"us probes hackable medical devices
",1.0
"experts aim to reduce stillbirths
",1.0
"video pm challenged on girls hospital letter
",1.0
"video gps to get â£55 for dementia diagnoses
",1.0
"gps to get â£55 for dementia diagnoses
",1.0
"schools should check kids teeth
",1.0
"nice conflicts of interests claim
",1.0
"ebola serum for africa in weeks
",1.0
"nhs reputation dragged through mud
",1.0
"nhs drafts in extra aampe doctors
",1.0
"video surfing to fight depression
",1.0
"video professors on ebola threat to uk
",1.0
"pharmacies could save nhs â£1bn
",1.0
"sport plan to aid mental health
",1.0
"huge fake dental equipment haul
",1.0
"pe cash can benefit obese pupils
",1.0
"where does ukip stand on health
",1.0
"audio mums job search for disabled child
",1.0
"ebola screening for more uk airports
",1.0
"eye ops were painful and rushed
",1.0
"video i wont walk 400m to chip shop
",1.0
"hospitals spot check data published
",1.0
"new trust to run stafford hospital
",1.0
"gps missing signs for lung cancer
",1.0
"video nhs strike on the picket line
",1.0
"video chief nurse in nhs strike plea
",1.0
"robust plans to counter nhs strike
",1.0
"video football aims to tackle mental health
",1.0
"premier league tackles mental health
",1.0
"keyhole kidney transplant success
",1.0
"video mental health stigma in the spotlight
",1.0
"doctors from europe in uk increasing
",1.0
"spain monitors ebola nurse contacts
",1.0
"video mental health work pilots launched
",1.0
"video more people tested for drugs at work
",1.0
"mental health work pilots launched
",1.0
"gp outofhours care improving
",1.0
"drug could cut drink dependence
",1.0
"five ebola cases per hour in s leone
",1.0
"smell test may predict lifespan
",1.0
"texas children monitored for ebola
",1.0
"video hunt for us ebola victim contacts
",1.0
"audio cancer victim gives to hospital that failed her
",1.0
"alcohol floor price under fire
",1.0
"tooth decay in toddlers top tips
",1.0
"audio partner stopping chemo was dreadful
",1.0
"video nhs to pay for ashya kings treatment
",1.0
"the onward march of the century makers
",1.0
